year;month;day;temp_max;temp_min;was_raining_previous_day
2019;04;29;20;9;1
2019;04;30;18;8;0
2019;05;01;18;7;0
2019;05;02;11;8;1
2019;05;03;12;5;0
2019;05;04;14;5;0
2019;05;05;12;3;0
2019;05;06;13;1;0
2019;05;07;13;3;0
2019;05;08;13;3;1
2019;05;09;16;7;1
2019;05;10;17;7;1
2019;05;11;18;7;1
2019;05;12;21;7;1
2019;05;13;12;6;1
2019;05;14;9;5;1
2019;05;15;12;6;1
2019;05;16;18;10;1
2019;05;17;20;12;1
2019;05;18;22;13;1
2019;05;19;22;14;1
2019;05;20;25;14;1
2019;05;21;21;12;1
2019;05;22;19;11;1
2019;05;23;21;12;0
2019;05;24;19;10;1
2019;05;25;22;11;0
2019;05;26;19;8;1
2019;05;27;24;13;1
2019;05;28;24;15;1
2019;05;29;16;9;0
2019;05;30;19;4;0
2019;05;31;21;9;0
2019;06;01;23;13;1
2019;06;02;25;14;0
2019;06;03;25;14;0
2019;06;04;28;15;1
2019;06;05;27;17;0
2019;06;06;26;16;0
2019;06;07;27;16;1
2019;06;08;28;17;0
2019;06;09;25;14;0
2019;06;10;28;14;0
2019;06;11;31;19;0
2019;06;12;32;19;1
2019;06;13;31;19;1
2019;06;14;27;19;1
2019;06;15;30;18;1
2019;06;16;25;17;0
2019;06;17;23;13;0
2019;06;18;24;13;1
2019;06;19;26;16;1
2019;06;20;28;18;1
2019;06;21;27;18;0
2019;06;22;23;15;0
2019;06;23;23;12;0
2019;06;24;25;14;0
2019;06;25;27;15;1
2019;06;26;32;20;1
2019;06;27;22;15;1
2019;06;28;21;11;0
2019;06;29;24;11;0
2019;06;30;31;15;1
2019;07;01;25;18;1
2019;07;02;22;13;1
2019;07;03;18;10;0
2019;07;04;18;8;1
2019;07;05;16;12;1
2019;07;06;20;9;1
2019;07;07;17;12;0
2019;07;08;17;10;1
2019;07;09;17;9;1
2019;07;10;16;11;1
2019;07;11;19;8;1
2019;07;12;22;11;1
2019;07;13;19;13;1
2019;07;14;21;11;0
2019;07;15;21;10;1
2019;07;16;16;11;1
2019;07;17;19;11;0
2019;07;18;22;9;0
2019;07;19;25;14;1
2019;07;20;26;15;1
2019;07;21;28;17;1
2019;07;22;24;15;0
2019;07;23;20;15;1
2019;07;24;23;16;1
2019;07;25;26;16;1
2019;07;26;24;14;1
2019;07;27;25;13;1
2019;07;28;28;17;1
2019;07;29;31;19;1
2019;07;30;29;19;0
2019;07;31;22;15;0
2019;08;01;23;14;1
2019;08;02;20;12;1
2019;08;03;22;13;0
2019;08;04;22;11;1
2019;08;05;23;12;1
2019;08;06;27;14;1
2019;08;07;26;18;1
2019;08;08;24;17;1
2019;08;09;24;14;1
2019;08;10;23;14;0
2019;08;11;26;16;1
2019;08;12;29;17;1
2019;08;13;23;17;1
2019;08;14;19;13;0
2019;08;15;23;11;0
2019;08;16;23;13;0
2019;08;17;24;14;0
2019;08;18;27;16;1
2019;08;19;29;18;0
2019;08;20;26;16;1
2019;08;21;19;15;0
2019;08;22;22;13;0
2019;08;23;24;13;0
2019;08;24;25;15;0
2019;08;25;26;14;0
2019;08;26;28;16;0
2019;08;27;29;17;1
2019;08;28;30;18;1
2019;08;29;31;19;1
2019;08;30;28;20;0
2019;08;31;27;17;0
2019;09;01;29;16;1
2019;09;02;22;14;1
2019;09;03;19;13;0
2019;09;04;22;12;0
2019;09;05;24;13;0
2019;09;06;20;13;1
2019;09;07;22;11;1
2019;09;08;17;13;0
2019;09;09;25;12;0
2019;09;10;19;13;0
2019;09;11;22;12;0
2019;09;12;23;14;1
2019;09;13;22;13;0
2019;09;14;17;9;0
2019;09;15;20;8;0
2019;09;16;16;10;1
2019;09;17;14;8;1
2019;09;18;14;6;1
2019;09;19;14;6;1
